epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.5747,1.11055,2.46073,1.28383,0.82951,0.85143,0.88032,0.55738,1.08734,1.19373,1.52729,0.000542744,0.000542744,0.000542744
2,60.3584,1.12253,1.20966,1.29829,0.11119,0.05505,0.07983,0.01597,4.29873,40.5519,5.63121,0.00109838,0.00109838,0.00109838
3,88.9162,1.24386,1.04263,1.36675,0.55261,0.23063,0.13432,0.05285,2.46872,3.99505,3.93676,0.0016539,0.0016539,0.0016539
4,118.181,1.16601,1.06716,1.32287,0.45768,0.60907,0.45175,0.19512,nan,nan,nan,0.00166659,0.00166659,0.00166659
5,147.421,1.08611,0.981,1.20729,0.74419,0.94872,0.9457,0.52727,1.2301,3.32155,1.63742,0.00166628,0.00166628,0.00166628
6,176.354,1.11123,0.88176,1.28327,0.68976,0.82614,0.94335,0.53667,1.12507,3.03311,1.54647,0.00166587,0.00166587,0.00166587
7,204.27,1.03653,0.69741,1.2252,0.86508,0.90596,0.96713,0.57456,1.1509,1.06068,1.54098,0.00166537,0.00166537,0.00166537
8,232.84,0.98464,0.70826,1.19094,0.94889,0.92863,0.99304,0.68441,0.91347,1.13551,1.29205,0.00166478,0.00166478,0.00166478
9,262.718,0.96682,0.66782,1.20929,0.96422,0.96154,0.99191,0.70144,0.83947,0.82092,1.22264,0.00166411,0.00166411,0.00166411
10,291.964,0.96458,0.67558,1.19511,0.97,0.97059,0.98919,0.64718,0.90527,0.63943,1.28683,0.00166334,0.00166334,0.00166334
11,320.585,0.99338,0.67685,1.2439,0.81384,0.96888,0.96811,0.69669,0.80285,0.95574,1.12547,0.00166248,0.00166248,0.00166248
12,349.523,0.97892,0.70706,1.18938,0.98,0.9835,0.99475,0.7111,0.94971,0.52307,1.32006,0.00166153,0.00166153,0.00166153
13,378.499,0.89351,0.60809,1.15466,0.98793,0.96969,0.98654,0.72896,0.81298,0.5429,1.15015,0.00166049,0.00166049,0.00166049
14,407.842,0.87539,0.62559,1.14826,0.82058,0.97661,0.97873,0.64405,0.89656,0.96902,1.19231,0.00165937,0.00165937,0.00165937
15,435.892,0.88761,0.59367,1.12022,0.96202,0.97854,0.99419,0.69244,0.8298,0.59268,1.13682,0.00165815,0.00165815,0.00165815
16,464.103,0.89071,0.60219,1.14531,0.99559,0.97247,0.99423,0.6938,0.80533,0.46787,1.13912,0.00165684,0.00165684,0.00165684
17,492.188,0.846,0.57363,1.12197,0.99432,0.98529,0.9931,0.75209,0.71495,0.45646,1.09611,0.00165544,0.00165544,0.00165544
18,520.98,0.8673,0.58748,1.13695,0.98053,1,0.99471,0.74992,0.73764,0.49758,1.12538,0.00165396,0.00165396,0.00165396
19,549.855,0.83003,0.54324,1.09832,0.96342,1,0.99343,0.72248,0.78849,0.47259,1.1911,0.00165238,0.00165238,0.00165238
